table_index,row_index,cell_index,tag,class,data_pos,text
11,0,2,TH,Ta-end Nowrap P-sm Fw-b,,Pts Per
11,0,3,TH,Ta-end Nowrap P-sm Fw-b,,Fan Pts
11,1,0,TD,ysf-stat-name P-sm,,Sack
11,1,1,TD,Ta-end P-sm,,2
11,1,2,TD,Ta-end P-sm,,1.00
11,1,3,TD,Ta-end P-sm,,2.00
11,2,0,TD,ysf-stat-name P-sm,,Fumble Recovery
11,2,1,TD,Ta-end P-sm,,1
11,2,2,TD,Ta-end P-sm,,2.00
11,2,3,TD,Ta-end P-sm,,2.00
11,3,0,TD,ysf-stat-name P-sm,,Points Allowed 28-34 points
11,3,1,TD,Ta-end P-sm,,1
11,3,2,TD,Ta-end P-sm,,-1.00
11,3,3,TD,Ta-end P-sm,,-1.00
11,4,0,TD,P-sm,,
11,4,1,TD,P-sm,,
11,4,2,TD,P-sm,,
11,4,3,TD,P-sm,,
11,5,0,TH,P-sm Fz-med Fw-b,,Total
11,5,1,TH,P-sm,,
11,5,2,TH,P-sm,,
11,5,3,TH,P-sm Fz-med Fw-b Ta-end,,3.00
12,0,0,TH,ysf-stat-name P-sm Fw-b,,Stat
12,0,1,TH,Ta-end Nowrap P-sm Fw-b,,
12,0,2,TH,Ta-end Nowrap P-sm Fw-b,,Pts Per
12,0,3,TH,Ta-end Nowrap P-sm Fw-b,,Fan Pts
12,1,0,TD,ysf-stat-name P-sm,,Passing Yards
12,1,1,TD,Ta-end P-sm,,318
12,1,2,TD,Ta-end P-sm,,0.04
12,1,3,TD,Ta-end P-sm,,12.72
12,2,0,TD,ysf-stat-name P-sm,,Passing Touchdowns
12,2,1,TD,Ta-end P-sm,,3
12,2,2,TD,Ta-end P-sm,,6.00
12,2,3,TD,Ta-end P-sm,,18.00
12,3,0,TD,ysf-stat-name P-sm,,Rushing Yards
12,3,1,TD,Ta-end P-sm,,119
12,3,2,TD,Ta-end P-sm,,0.10
12,3,3,TD,Ta-end P-sm,,11.90
12,4,0,TD,ysf-stat-name P-sm,,Rushing Touchdowns
12,4,1,TD,Ta-end P-sm,,1
12,4,2,TD,Ta-end P-sm,,6.00
12,4,3,TD,Ta-end P-sm,,6.00
12,5,0,TD,P-sm,,
12,5,1,TD,P-sm,,
12,5,2,TD,P-sm,,
12,5,3,TD,P-sm,,
12,6,0,TH,P-sm Fz-med Fw-b,,Total
12,6,1,TH,P-sm,,
12,6,2,TH,P-sm,,
12,6,3,TH,P-sm Fz-med Fw-b Ta-end,,48.62
