year,player,final_owner,ownership_confidence,ownership_evidence,snapshot_owner,snapshot_week
2017,Ben Roethlisberger,The Big Gronkowski,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,The Big Gronkowski,13.0
2017,Bills,The Big Gronkowski,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Bills - DEF,The Big Gronkowski,Snapshot Only,Final regular-season roster snapshot (Week 13),The Big Gronkowski,13.0
2017,Davante Adams,The Big Gronkowski,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,The Big Gronkowski,13.0
2017,Delanie Walker,The Big Gronkowski,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,The Big Gronkowski,13.0
2017,Evan Engram,The Big Gronkowski,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,The Big Gronkowski,13.0
2017,Ezekiel Elliott,The Big Gronkowski,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,The Big Gronkowski,13.0
2017,Golden Tate,The Big Gronkowski,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,The Big Gronkowski,13.0
2017,Harrison Butker,The Big Gronkowski,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,The Big Gronkowski,13.0
2017,Marshawn Lynch,The Big Gronkowski,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Voldemort,Voldemort,13.0
2017,Mohamed Sanu,The Big Gronkowski,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,The Big Gronkowski,13.0
2017,Samaje Perine,The Big Gronkowski,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,The Big Gronkowski,13.0
2017,Steelers,The Big Gronkowski,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Steelers - DEF,The Big Gronkowski,Snapshot Only,Final regular-season roster snapshot (Week 13),The Big Gronkowski,13.0
2017,Aaron Jones Sr.,ThreatLevelMidnight,Snapshot Only,Final regular-season roster snapshot (Week 13),ThreatLevelMidnight,13.0
2017,Alex Smith,ThreatLevelMidnight,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,ThreatLevelMidnight,13.0
2017,Antonio Brown,ThreatLevelMidnight,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,ThreatLevelMidnight,13.0
2017,C.J. Anderson,ThreatLevelMidnight,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Dillon Panthers,Dillon Panthers,13.0
2017,Corey Coleman,ThreatLevelMidnight,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Dak Prescott,ThreatLevelMidnight,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,ThreatLevelMidnight,13.0
2017,Damien Williams,ThreatLevelMidnight,Snapshot Only,Final regular-season roster snapshot (Week 13),ThreatLevelMidnight,13.0
2017,Dede Westbrook,ThreatLevelMidnight,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Jared Cook,ThreatLevelMidnight,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,ThreatLevelMidnight,13.0
2017,Jeremy Maclin,ThreatLevelMidnight,Snapshot Only,Final regular-season roster snapshot (Week 13),ThreatLevelMidnight,13.0
2017,JuJu Smith-Schuster,ThreatLevelMidnight,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Pop Lockett Drop it,Pop Lockett Drop it,13.0
2017,Keenan Allen,ThreatLevelMidnight,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Dillon Panthers,Dillon Panthers,13.0
2017,Kenny Stills,ThreatLevelMidnight,Snapshot Only,Final regular-season roster snapshot (Week 13),ThreatLevelMidnight,13.0
2017,Lamar Miller,ThreatLevelMidnight,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,ThreatLevelMidnight,13.0
2017,Matt Bryant,ThreatLevelMidnight,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,ThreatLevelMidnight,13.0
2017,Mike Davis,ThreatLevelMidnight,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Mike Wallace,ThreatLevelMidnight,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Ravens,ThreatLevelMidnight,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Ravens - DEF,ThreatLevelMidnight,Snapshot Only,Final regular-season roster snapshot (Week 13),ThreatLevelMidnight,13.0
2017,Rishard Matthews,ThreatLevelMidnight,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,ThreatLevelMidnight,13.0
2017,Theo Riddick,ThreatLevelMidnight,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Alvin Kamara,Voldemort,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski,The Big Gronkowski,13.0
2017,Chris Hogan,Voldemort,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski,The Big Gronkowski,13.0
2017,Commanders,Voldemort,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Dan Bailey,Voldemort,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Frank Gore,Voldemort,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=The Big Gronkowski,The Big Gronkowski,13.0
2017,Greg Olsen,Voldemort,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Voldemort,13.0
2017,Jack Doyle,Voldemort,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Voldemort,13.0
2017,Jamaal Williams,Voldemort,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Voldemort,13.0
2017,Jared Goff,Voldemort,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Voldemort,13.0
2017,Jerick McKinnon,Voldemort,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Voldemort,13.0
2017,Jordy Nelson,Voldemort,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Voldemort,13.0
2017,Josh Gordon,Voldemort,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Voldemort,13.0
2017,Kareem Hunt,Voldemort,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Voldemort,13.0
2017,Melvin Gordon III,Voldemort,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Voldemort,13.0
2017,Patriots,Voldemort,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Patriots - DEF,Voldemort,Snapshot Only,Final regular-season roster snapshot (Week 13),Voldemort,13.0
2017,Ryan Succop,Voldemort,Snapshot Only,Final regular-season roster snapshot (Week 13),Voldemort,13.0
2017,Tom Brady,Voldemort,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Voldemort,13.0
2017,Blair Walsh,malle_dips_pouches,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,malle_dips_pouches,13.0
2017,Chargers,malle_dips_pouches,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Chargers - DEF,malle_dips_pouches,Snapshot Only,Final regular-season roster snapshot (Week 13),malle_dips_pouches,13.0
2017,Charles Clay,malle_dips_pouches,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,malle_dips_pouches,13.0
2017,Derek Carr,malle_dips_pouches,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,malle_dips_pouches,13.0
