player,player_position,missed_start_count,total_fantasy_points,avg_fantasy_points,max_fantasy_points
Will Levis,QB,1,19.58,19.58,19.58
Mike White,QB,1,19.46,19.46,19.46
Jalen Tolbert,WR,1,18.2,18.2,18.2
Denzel Boston,WR,1,18.0,18.0,18.0
Texans,DEF,1,18.0,18.0,18.0
A.J. Brown,WR,1,17.7,17.7,17.7
Tyrod Taylor,QB,1,17.44,17.44,17.44
Bo Nix,QB,1,17.12,17.12,17.12
Riley Patterson,K,1,17.0,17.0,17.0
DeAndre Carter,WR,1,16.8,16.8,16.8
Xavier Legette,WR,1,16.3,16.3,16.3
Quinshon Judkins,RB,1,16.0,16.0,16.0
Lamar Miller,RB,1,15.9,15.9,15.9
Trey Sermon,RB,1,15.3,15.3,15.3
Tutu Atwell,WR,1,15.2,15.2,15.2
Davante Adams,WR,1,15.1,15.1,15.1
Aldrick Rosas,K,1,15.0,15.0,15.0
Tyler Conklin,TE,1,14.6,14.6,14.6
Roschon Johnson,RB,1,14.5,14.5,14.5
Dontayvion Wicks,WR,1,14.3,14.3,14.3
Jalen Reagor,WR,1,13.9,13.9,13.9
K.J. Osborn,WR,1,13.9,13.9,13.9
Cedric Tillman,WR,1,13.7,13.7,13.7
Jonah Coleman,RB,1,13.3,13.3,13.3
Greg Dortch,WR,1,12.5,12.5,12.5
Jimmy Graham,TE,1,12.5,12.5,12.5
Zach Pascal,WR,1,12.3,12.3,12.3
Josh Reynolds,WR,1,12.2,12.2,12.2
Cardinals,DEF,1,12.0,12.0,12.0
Colts,DEF,1,12.0,12.0,12.0
Jason Myers,K,1,12.0,12.0,12.0
Tyreek Hill,WR,1,12.0,12.0,12.0
Caleb Douglas,WR,1,11.9,11.9,11.9
Justin Jackson,RB,1,11.9,11.9,11.9
Kerryon Johnson,RB,1,11.6,11.6,11.6
Marquise Goodwin,WR,1,11.5,11.5,11.5
Dan Arnold,TE,1,11.2,11.2,11.2
Tyler Goodson,RB,1,11.1,11.1,11.1
Woody Marks,RB,1,11.0,11.0,11.0
Jaylen Samuels,RB,1,10.5,10.5,10.5
Eagles,DEF,1,10.0,10.0,10.0
Mike Boone,RB,1,10.0,10.0,10.0
Emari Demercado,RB,1,9.5,9.5,9.5
John Ross,WR,1,9.1,9.1,9.1
Cameron Dicker,K,1,9.0,9.0,9.0
Matt Prater,K,1,9.0,9.0,9.0
Devaughn Vele,WR,1,8.9,8.9,8.9
Sean Tucker,RB,1,8.9,8.9,8.9
Michael Thomas,WR,1,8.8,8.8,8.8
Cedrick Wilson Jr.,WR,1,8.7,8.7,8.7
Chris Conley,WR,1,8.5,8.5,8.5
Tetairoa McMillan,WR,1,8.5,8.5,8.5
Josh Jacobs,RB,1,8.2,8.2,8.2
Brandon Bolden,RB,1,8.1,8.1,8.1
Harrison Butker,K,1,8.0,8.0,8.0
Seahawks,DEF,1,8.0,8.0,8.0
Carson Steele,RB,1,7.9,7.9,7.9
Emeka Egbuka,WR,1,7.8,7.8,7.8
Joshua Kelley,RB,1,7.8,7.8,7.8
Preston Williams,WR,1,7.7,7.7,7.7
MarShawn Lloyd,RB,1,7.6,7.6,7.6
Trey Edmunds,RB,1,7.3,7.3,7.3
Jordan Wilkins,RB,1,7.2,7.2,7.2
Chig Okonkwo,TE,1,7.1,7.1,7.1
Dan Bailey,K,1,7.0,7.0,7.0
Zamir White,RB,1,7.0,7.0,7.0
Rex Burkhead,RB,1,6.9,6.9,6.9
TreVeyon Henderson,RB,1,5.5,5.5,5.5
Donte Moncrief,WR,1,5.4,5.4,5.4
Wendell Smallwood,RB,1,5.4,5.4,5.4
Colby Parkinson,TE,1,5.3,5.3,5.3
Bilal Powell,RB,1,5.2,5.2,5.2
Jake Elliott,K,1,5.0,5.0,5.0
Irv Smith Jr.,TE,1,4.8,4.8,4.8
Chris Hogan,WR,1,4.7,4.7,4.7
Taylor Gabriel,WR,1,4.5,4.5,4.5
Ben Watson,TE,1,4.4,4.4,4.4
Tre'Quan Smith,WR,1,4.4,4.4,4.4
Malik Washington,WR,1,4.3,4.3,4.3
Jalen Nailor,WR,1,4.2,4.2,4.2
Devin Funchess,WR,1,3.9,3.9,3.9
Travis Hunter,WR,1,3.5,3.5,3.5
Mark Walton,RB,1,3.4,3.4,3.4
Brian Hill,RB,1,3.3,3.3,3.3
Josh Lambo,K,1,3.0,3.0,3.0
Vance McDonald,TE,1,2.8,2.8,2.8
Keaontay Ingram,RB,1,2.1,2.1,2.1
James Cook III,RB,1,2.0,2.0,2.0
Rams,DEF,1,1.0,1.0,1.0
Ja'Marr Chase,WR,1,0.0,0.0,0.0
