year,team,games,wins,points_for,points_against,losses,win_pct,points_per_game,scoring_rank,win_rank,actual_points,optimal_points,points_left_on_bench,avg_weekly_points_left,avoidable_starts,season_efficiency_pct,efficiency_rank,rated_picks,avg_draft_value,total_draft_value,steals,elite_steals,busts,major_busts,draft_class_rank,meaningful_acquisitions,avg_waiver_value,total_positive_value,good_rate,elite_finds,bust_rate,production_points,waiver_rank,is_champion,scoring_percentile,winning_percentile,efficiency_percentile,bench_management_percentile,draft_percentile,waiver_percentile
2020,Patty Primetimes,13,3.0,1264.36,1487.94,10.0,0.23076923076923078,97.25846153846153,12,11,1264.36,1550.34,285.98,22.0,34,81.55,12,12,0.3718318987770133,4.46198278532416,2,0,3,1,4,4.0,-19.97596153846154,29.711538461538453,25.0,0.0,50.0,77.6,12.0,False,8.333333333333332,12.5,8.333333333333332,8.333333333333332,75.0,8.333333333333332
2020,Pop Lockett Drop it,13,10.0,1524.8400000000001,1454.32,3.0,0.7692307692307693,117.29538461538462,3,1,1524.84,1727.66,202.82,15.6,19,88.26,8,11,-3.067305094077762,-33.74035603485539,2,1,2,1,5,4.0,30.046583850931672,120.18633540372667,50.0,1.0,0.0,376.36,1.0,False,83.33333333333334,100.0,41.66666666666667,41.66666666666667,66.66666666666666,100.0
2020,Post Mahomes,13,6.0,1437.74,1303.58,7.0,0.46153846153846156,110.59538461538462,7,7,1437.74,1559.52,121.78,9.37,17,92.19,1,12,-4.2867872551591715,-51.441447061910054,2,0,3,2,8,12.0,11.363921404682277,168.54515050167225,16.666666666666664,0.0,0.0,366.04,6.0,False,50.0,45.83333333333333,100.0,100.0,41.66666666666667,58.333333333333336
2020,The Big Gronkowski,13,8.0,1456.5,1424.62,5.0,0.6153846153846154,112.03846153846153,5,3,1456.5,1670.12,213.62,16.43,36,87.21,9,13,12.190930238646716,158.4820931024073,4,1,0,0,1,3.0,-7.531969309462916,0.2173913043478279,0.0,0.0,0.0,68.68,10.0,False,66.66666666666666,75.0,33.33333333333333,25.0,100.0,25.0
2020,ThreatLevelMidnight,13,3.0,1444.0,1681.46,10.0,0.23076923076923078,111.07692307692308,6,11,1444.0,1615.1,171.1,13.16,18,89.41,4,13,-12.720574494448185,-165.36746842782637,0,0,2,1,12,13.0,19.618232937630932,269.38485427615865,38.46153846153847,1.0,0.0,529.98,4.0,False,58.333333333333336,12.5,75.0,75.0,8.333333333333332,75.0
2020,Uncle Rico,13,8.0,1397.84,1289.48,5.0,0.6153846153846154,107.52615384615385,9,3,1397.84,1606.14,208.3,16.02,20,87.03,10,12,-9.60697562185923,-115.28370746231076,1,0,5,3,10,7.0,-13.59095143073952,44.768907563025216,14.285714285714285,0.0,42.857142857142854,143.60000000000002,11.0,False,33.33333333333333,75.0,25.0,33.33333333333333,25.0,16.666666666666664
2020,Voldemort,13,9.0,1559.46,1341.8,4.0,0.6923076923076923,119.95846153846153,2,2,1559.46,1803.88,244.42,18.8,26,86.45,11,12,-3.9040596967226207,-46.848716360671446,1,1,1,0,7,12.0,22.24846711259755,277.36622073578593,58.333333333333336,1.0,0.0,692.6800000000001,2.0,False,91.66666666666666,91.66666666666666,16.666666666666664,16.666666666666664,50.0,91.66666666666666
2020,malle_dips_pouches,13,5.0,1400.02,1525.52,8.0,0.38461538461538464,107.69384615384615,8,9,1400.02,1578.92,178.9,13.76,26,88.67,7,13,-3.1714804901605875,-41.22924637208764,1,1,3,1,6,8.0,20.3889804249459,186.95799724572103,50.0,1.0,0.0,591.1800000000001,3.0,False,41.66666666666667,29.166666666666668,50.0,50.0,58.333333333333336,83.33333333333334
2021,Big Sack Jack,14,3.0,1405.86,1671.22,11.0,0.21428571428571427,100.41857142857143,11,12,1405.86,1560.26,154.4,11.03,24,90.1,9,11,-11.431305049616713,-125.74435554578383,0,0,3,2,12,9.0,2.745668437157798,110.98807221147646,22.22222222222222,1.0,0.0,312.58,11.0,False,16.666666666666664,8.333333333333332,33.33333333333333,66.66666666666666,8.333333333333332,16.666666666666664
2021,Ginger FC,14,5.0,1625.3999999999999,1695.5,9.0,0.35714285714285715,116.1,3,9,1625.4,1779.58,154.18,11.01,18,91.34,2,12,2.6179901078426036,31.415881294111244,1,0,1,0,3,7.0,15.637744136984258,136.78563753031838,28.57142857142857,0.0,0.0,279.9,5.0,False,83.33333333333334,33.33333333333333,91.66666666666666,75.0,83.33333333333334,66.66666666666666
