year,team,schedule_team,wins,losses,ties,games,win_equivalent,is_actual_schedule
2018,malle_dips_pouches,Joe Mantegna,5.0,8.0,0.0,13,5.0,False
2018,malle_dips_pouches,Malle ❤️ 🐸,9.0,4.0,0.0,13,9.0,False
2018,malle_dips_pouches,Pop Lockett Drop it,6.0,7.0,0.0,13,6.0,False
2018,malle_dips_pouches,Post Mahomes,9.0,4.0,0.0,13,9.0,False
2018,malle_dips_pouches,The Big Gronkowski,9.0,4.0,0.0,13,9.0,False
2018,malle_dips_pouches,ThreatLevelMidnight,8.0,5.0,0.0,13,8.0,False
2018,malle_dips_pouches,Uncle Rico,7.0,6.0,0.0,13,7.0,False
2018,malle_dips_pouches,Voldemort,6.0,7.0,0.0,13,6.0,False
2018,malle_dips_pouches,malle_dips_pouches,11.0,2.0,0.0,13,11.0,True
2019,Big Sack Jack,Big Sack Jack,7.0,6.0,0.0,13,7.0,True
2019,Big Sack Jack,Ginger FC,6.0,7.0,0.0,13,6.0,False
2019,Big Sack Jack,Joe Mantegna,6.0,7.0,0.0,13,6.0,False
2019,Big Sack Jack,Malle ❤️ 🐸,8.0,5.0,0.0,13,8.0,False
2019,Big Sack Jack,Patty Primetimes,8.0,5.0,0.0,13,8.0,False
2019,Big Sack Jack,Pop Lockett Drop it,6.0,7.0,0.0,13,6.0,False
2019,Big Sack Jack,Post Mahomes,6.0,7.0,0.0,13,6.0,False
2019,Big Sack Jack,The Big Gronkowski,8.0,5.0,0.0,13,8.0,False
2019,Big Sack Jack,ThreatLevelMidnight,7.0,6.0,0.0,13,7.0,False
2019,Big Sack Jack,Uncle Rico,8.0,5.0,0.0,13,8.0,False
2019,Big Sack Jack,Voldemort,10.0,3.0,0.0,13,10.0,False
2019,Big Sack Jack,malle_dips_pouches,6.0,7.0,0.0,13,6.0,False
2019,Ginger FC,Big Sack Jack,4.0,9.0,0.0,13,4.0,False
2019,Ginger FC,Ginger FC,4.0,9.0,0.0,13,4.0,True
2019,Ginger FC,Joe Mantegna,4.0,9.0,0.0,13,4.0,False
2019,Ginger FC,Malle ❤️ 🐸,5.0,8.0,0.0,13,5.0,False
2019,Ginger FC,Patty Primetimes,4.0,9.0,0.0,13,4.0,False
2019,Ginger FC,Pop Lockett Drop it,7.0,6.0,0.0,13,7.0,False
2019,Ginger FC,Post Mahomes,3.0,10.0,0.0,13,3.0,False
2019,Ginger FC,The Big Gronkowski,4.0,9.0,0.0,13,4.0,False
2019,Ginger FC,ThreatLevelMidnight,5.0,8.0,0.0,13,5.0,False
2019,Ginger FC,Uncle Rico,5.0,8.0,0.0,13,5.0,False
2019,Ginger FC,Voldemort,8.0,5.0,0.0,13,8.0,False
2019,Ginger FC,malle_dips_pouches,3.0,10.0,0.0,13,3.0,False
2019,Joe Mantegna,Big Sack Jack,8.0,5.0,0.0,13,8.0,False
2019,Joe Mantegna,Ginger FC,5.0,8.0,0.0,13,5.0,False
2019,Joe Mantegna,Joe Mantegna,4.0,9.0,0.0,13,4.0,True
2019,Joe Mantegna,Malle ❤️ 🐸,4.0,9.0,0.0,13,4.0,False
2019,Joe Mantegna,Patty Primetimes,5.0,8.0,0.0,13,5.0,False
2019,Joe Mantegna,Pop Lockett Drop it,6.0,7.0,0.0,13,6.0,False
2019,Joe Mantegna,Post Mahomes,8.0,5.0,0.0,13,8.0,False
2019,Joe Mantegna,The Big Gronkowski,5.0,8.0,0.0,13,5.0,False
2019,Joe Mantegna,ThreatLevelMidnight,5.0,8.0,0.0,13,5.0,False
2019,Joe Mantegna,Uncle Rico,4.0,9.0,0.0,13,4.0,False
2019,Joe Mantegna,Voldemort,11.0,2.0,0.0,13,11.0,False
2019,Joe Mantegna,malle_dips_pouches,3.0,10.0,0.0,13,3.0,False
2019,Malle ❤️ 🐸,Big Sack Jack,2.0,11.0,0.0,13,2.0,False
2019,Malle ❤️ 🐸,Ginger FC,4.0,9.0,0.0,13,4.0,False
2019,Malle ❤️ 🐸,Joe Mantegna,6.0,7.0,0.0,13,6.0,False
2019,Malle ❤️ 🐸,Malle ❤️ 🐸,4.0,9.0,0.0,13,4.0,True
2019,Malle ❤️ 🐸,Patty Primetimes,5.0,8.0,0.0,13,5.0,False
2019,Malle ❤️ 🐸,Pop Lockett Drop it,6.0,7.0,0.0,13,6.0,False
