year,week,fantasy_team,opponent,score,opponent_score,canonical_team,canonical_opponent,margin,win,loss,tie,all_play_wins,all_play_losses,all_play_ties,expected_win_rate,weekly_score_rank,teams_that_week,bad_beat_value,bad_beat,severe_bad_beat,brutal_bad_beat,lucky_win,severe_lucky_win
2020,6,Joe Mantegna,Patty Primetimes,121.3,87.94,Joe Mantegna,Patty Primetimes,33.36,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2018,10,malle_dips_pouches,PickUpYourBratsMalle,121.52,85.22,malle_dips_pouches,ThreatLevelMidnight,36.3,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2019,8,Voldemort,Pop Lockett Drop it,122.58,99.68,Voldemort,Pop Lockett Drop it,22.89999999999999,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,12,The Big Gronkowski,Malle ❤️ 🐸,122.64,77.92,The Big Gronkowski,Malle ❤️ 🐸,44.72,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,11,Big Sack Jack,Malle ❤️ 🐸,122.68,94.52,Big Sack Jack,Malle ❤️ 🐸,28.16000000000001,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2022,7,The Big Gronkowski,ThreatLevelMidnight,122.92,88.6,The Big Gronkowski,ThreatLevelMidnight,34.32000000000001,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2018,1,Big Sack Jack,Voldemort,123.04,121.58,Big Sack Jack,Voldemort,1.460000000000008,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2024,10,Post Mahomes,malle_dips_pouches,123.3,93.94,Post Mahomes,malle_dips_pouches,29.36,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2022,9,The Big Gronkowski,malle_dips_pouches,123.8,82.72,The Big Gronkowski,malle_dips_pouches,41.08,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2021,3,malle_dips_pouches,Pop Lockett Drop it,123.88,110.64,malle_dips_pouches,Pop Lockett Drop it,13.239999999999995,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2018,6,Uncle Rico,Ginger FC,124.1,81.08,Uncle Rico,Ginger FC,43.019999999999996,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2023,6,You Better Park It,malle_dips_pouches,124.98,95.86,Buttermilk Puuump,malle_dips_pouches,29.120000000000005,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2023,2,Malle ❤️ 🐸,Patty Primetimes,125.42,79.66,Malle ❤️ 🐸,Patty Primetimes,45.760000000000005,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2024,3,Post Mahomes,Ginger FC,125.58,105.62,Post Mahomes,Ginger FC,19.959999999999994,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2025,12,ThreatLevelMidnight,Joe Mantegna,125.58,91.22,ThreatLevelMidnight,Joe Mantegna,34.36,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,2,malle_dips_pouches,Malle ❤️ 🐸,125.6,59.12,malle_dips_pouches,Malle ❤️ 🐸,66.47999999999999,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,8,Ginger FC,The Big Gronkowski,125.78,89.58,Ginger FC,The Big Gronkowski,36.2,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
