acquisition_id,year,canonical_team,player,player_position,acquisition_type,acquisition_datetime,drop_datetime,acquisition_week,candidate_weeks,roster_weeks,stint_points,primary_eligible,roster_match,roster_capture_rate
A00916,2021,Uncle Rico,Ryan Succop,,Free Agent,2021-11-17 06:10:00,,11,4,4,36.0,False,True,1.0
A00917,2021,Post Mahomes,Dolphins,,Free Agent,2021-11-17 07:11:00,2021-12-06 15:20:00,11,3,0,0.0,False,False,0.0
A00918,2021,Post Mahomes,Randy Bullock,,Free Agent,2021-11-17 08:43:00,2021-11-24 06:49:00,11,2,1,1.0,False,True,0.5
A00919,2021,Post Mahomes,Elijah Moore,WR,Free Agent,2021-11-17 08:44:00,2021-11-21 10:40:00,11,1,0,0.0,True,False,0.0
A00920,2021,Joe Mantegna,Eagles,,Free Agent,2021-11-17 21:14:00,2021-12-08 02:16:00,11,4,0,0.0,False,False,0.0
A00921,2021,Malle ❤️ 🐸,Chargers,,Free Agent,2021-11-17 09:15:00,2021-11-24 02:21:00,11,2,0,0.0,False,False,0.0
A00922,2021,Pop Lockett Drop it,Ty Johnson,RB,Free Agent,2021-11-17 09:20:00,2021-11-24 02:21:00,11,2,1,1.8,True,True,0.5
A00923,2021,Patty Primetimes,Chris Boswell,,Free Agent,2021-11-18 12:59:00,,11,4,4,30.0,False,True,1.0
A00924,2021,Patty Primetimes,Matt Prater,,Waiver,2021-11-20 02:13:00,,11,4,4,32.0,False,True,1.0
A00925,2021,ThreatLevelMidnight,J.D. McKissic,RB,Free Agent,2021-11-21 10:14:00,2021-11-24 13:34:00,11,2,1,5.5,True,True,0.5
A00926,2021,Post Mahomes,Tua Tagovailoa,QB,Free Agent,2021-11-21 10:40:00,2021-11-28 09:49:00,11,2,1,22.52,True,True,0.5
A00927,2021,Uncle Rico,Jimmy Garoppolo,QB,Free Agent,2021-11-21 10:55:00,,11,4,4,79.94,True,True,1.0
A00928,2021,malle_dips_pouches,C.J. Uzomah,TE,Free Agent,2021-11-21 11:34:00,2021-11-28 10:49:00,11,2,1,1.9,True,True,0.5
A00929,2021,ThreatLevelMidnight,Alexander Mattison,RB,Free Agent,2021-11-24 13:34:00,,12,3,3,32.4,True,True,1.0
A00930,2021,ThreatLevelMidnight,Sony Michel,RB,Free Agent,2021-11-24 13:34:00,,12,3,3,31.299999999999997,True,True,1.0
A00931,2021,Ginger FC,Texans,,Waiver,2021-11-24 02:21:00,2021-12-01 03:25:00,12,2,0,0.0,False,False,0.0
A00932,2021,Joe Mantegna,Michael Badgley,,Waiver,2021-11-24 02:21:00,2021-12-04 02:12:00,12,2,1,8.0,False,True,0.5
A00933,2021,Malle ❤️ 🐸,Bears,,Waiver,2021-11-24 02:21:00,2021-12-10 15:31:00,12,3,0,0.0,False,False,0.0
A00934,2021,Pop Lockett Drop it,Pat Freiermuth,TE,Waiver,2021-11-24 02:21:00,2021-12-01 17:34:00,12,2,1,12.0,True,True,0.5
A00935,2021,Voldemort,Elijah Moore,WR,Waiver,2021-11-24 02:21:00,2021-12-12 16:47:00,12,3,2,24.900000000000002,True,True,0.6666666666666666
A00936,2021,ThreatLevelMidnight,Bengals,,Free Agent,2021-11-24 02:51:00,2021-12-01 06:56:00,12,2,0,0.0,False,False,0.0
A00937,2021,Uncle Rico,Jakobi Meyers,WR,Free Agent,2021-11-24 06:20:00,,12,3,3,12.3,True,True,1.0
A00938,2021,Uncle Rico,David Johnson,RB,Free Agent,2021-11-24 06:31:00,2021-12-05 10:02:00,12,2,1,6.5,True,True,0.5
