year,round,pick_in_round,overall_pick,team,player,keeper,name_key,canonical_team,season_points,roster_weeks,position,captured_points,captured_weeks,started_points,starts,retention_rate,starter_capture_rate,draft_value_eligible,position_percentile,expected_position_percentile,comparison_sample,draft_value,value_above_expected,capture_rate,starter_utilization_rate,expected_points,value_ratio,captured_value_above_expected,captured_value_ratio,draft_result
2019,1,7,7,ThreatLevelMidnight,James Conner,False,james conner,ThreatLevelMidnight,97.2,13.0,RB,74.6,7.0,74.6,6.0,0.7674897119341563,1.0,True,67.94871794871796,87.95180722891565,149.0,-20.0030892801977,-20.0030892801977,0.7674897119341563,1.0,87.95180722891565,0.7725676150333686,-15.352165229452142,0.7674897119341563,Near Expectation
2019,1,1,1,Pop Lockett Drop it,Saquon Barkley,False,saquon barkley,Pop Lockett Drop it,101.5,13.0,RB,101.5,13.0,101.5,9.0,1.0,1.0,True,71.7948717948718,90.66666666666666,103.0,-18.87179487179486,-18.87179487179486,1.0,1.0,90.66666666666666,0.7918552036199096,-18.87179487179486,1.0,Near Expectation
2023,1,12,12,Uncle Rico,Josh Jacobs,False,josh jacobs,Uncle Rico,118.5,10.0,RB,118.5,10.0,118.5,9.0,1.0,1.0,True,67.07317073170732,85.8974358974359,187.0,-18.824265165728576,-18.824265165728576,1.0,1.0,85.8974358974359,0.78085183836913,-18.824265165728576,1.0,Near Expectation
2019,1,12,12,Big Sack Jack,Tyreek Hill,False,tyreek hill,Big Sack Jack,91.2,13.0,WR,91.2,13.0,91.2,8.0,1.0,1.0,True,68.0,85.71428571428571,187.0,-17.714285714285708,-17.714285714285708,1.0,1.0,85.71428571428571,0.7933333333333333,-17.714285714285708,1.0,Near Expectation
2025,1,6,6,Voldemort,Justin Jefferson,False,justin jefferson,Voldemort,125.4,14.0,WR,34.0,6.0,34.0,5.0,0.2711323763955343,1.0,True,71.95121951219512,88.95875591615957,142.0,-17.00753640396445,-17.00753640396445,0.2711323763955343,1.0,88.95875591615957,0.8088154872580116,-4.611293761840441,0.2711323763955343,Near Expectation
2020,1,12,12,Pop Lockett Drop it,David Johnson,False,david johnson,Pop Lockett Drop it,97.3,13.0,RB,97.3,13.0,81.3,7.0,1.0,0.8355601233299075,True,69.04761904761905,85.36585365853658,187.0,-16.31823461091753,-16.31823461091753,1.0,0.8355601233299075,85.36585365853658,0.8088435374149661,-16.31823461091753,1.0,Near Expectation
2023,1,4,4,The Big Gronkowski,Austin Ekeler,False,austin ekeler,The Big Gronkowski,132.1,14.0,RB,132.1,14.0,132.1,10.0,1.0,1.0,True,74.39024390243902,90.36144578313254,125.0,-15.971201880693513,-15.971201880693513,1.0,1.0,90.36144578313254,0.8232520325203251,-15.971201880693513,1.0,Near Expectation
2022,1,1,1,Post Mahomes,Jonathan Taylor,False,jonathan taylor,Post Mahomes,130.6,14.0,RB,130.6,14.0,130.6,10.0,1.0,1.0,True,76.47058823529412,89.65517241379311,103.0,-13.184584178498994,-13.184584178498994,1.0,1.0,89.65517241379311,0.8529411764705882,-13.184584178498994,1.0,Near Expectation
2024,1,7,7,malle_dips_pouches,A.J. Brown,False,aj brown,malle_dips_pouches,131.6,14.0,WR,13.7,3.0,13.7,2.0,0.10410334346504559,1.0,True,75.30864197530865,86.98179271708685,150.0,-11.673150741778201,-11.673150741778201,0.10410334346504559,1.0,86.98179271708685,0.865797767818539,-1.2152140209905877,0.10410334346504559,Near Expectation
2025,1,5,5,Pop Lockett Drop it,CeeDee Lamb,False,ceedee lamb,Pop Lockett Drop it,133.2,14.0,WR,34.6,7.0,34.6,3.0,0.2597597597597598,1.0,True,76.82926829268293,88.2528735632184,134.0,-11.423605270535475,-11.423605270535475,0.2597597597597598,1.0,88.2528735632184,0.8705582627589755,-2.9673929606646205,0.2597597597597598,Near Expectation
2019,1,2,2,The Big Gronkowski,Alvin Kamara,False,alvin kamara,The Big Gronkowski,115.62,13.0,RB,115.62,13.0,115.62,11.0,1.0,1.0,True,80.76923076923077,90.58823529411765,111.0,-9.819004524886878,-9.819004524886878,1.0,1.0,90.58823529411765,0.8916083916083916,-9.819004524886878,1.0,Near Expectation
2022,1,10,10,Ginger FC,Alvin Kamara,False,alvin kamara,Ginger FC,133.79999999999998,14.0,RB,133.79999999999998,14.0,133.79999999999998,12.0,1.0,1.0,True,77.64705882352942,85.18518518518519,173.0,-7.53812636165577,-7.53812636165577,1.0,1.0,85.18518518518519,0.9115089514066497,-7.53812636165577,1.0,Near Expectation
2017,1,7,7,Ginger FC,Mike Evans,False,mike evans,Ginger FC,97.5,13.0,WR,39.6,5.0,39.6,4.0,0.40615384615384614,1.0,True,80.24691358024691,87.05882352941177,149.0,-6.811909949164857,-6.811909949164857,0.40615384615384614,1.0,87.05882352941177,0.921755088421755,-2.7666834255069572,0.40615384615384614,Near Expectation
2023,1,9,9,Patty Primetimes,Stefon Diggs,False,stefon diggs,Patty Primetimes,151.2,11.0,WR,151.2,11.0,151.2,10.0,1.0,1.0,True,80.21978021978022,86.90476190476191,165.0,-6.684981684981693,-6.684981684981693,1.0,1.0,86.90476190476191,0.923076923076923,-6.684981684981693,1.0,Near Expectation
2017,1,8,8,Dillon Panthers,Devonta Freeman,False,devonta freeman,Dillon Panthers,103.3,13.0,RB,94.9,9.0,94.9,8.0,0.9186834462729914,1.0,True,80.72289156626506,86.81318681318682,157.0,-6.090295246921755,-6.090295246921755,0.9186834462729914,1.0,86.81318681318682,0.9298459661430531,-5.595053426262097,0.9186834462729914,Near Expectation
