year,week,fantasy_team,opponent,decision_type,player,player_position,lineup_slot,fantasy_points
2020,13,malle_dips_pouches,ThreatLevelMidnight,Should Have Started,Eric Ebron,TE,BN,10.3
2020,13,malle_dips_pouches,ThreatLevelMidnight,Should Have Started,Amari Cooper,WR,BN,13.8
2021,1,Big Sack Jack,ThreatLevelMidnight,Should Have Benched,James Robinson,RB,RB,6.9
2021,1,Big Sack Jack,ThreatLevelMidnight,Should Have Started,Sterling Shepard,WR,BN,20.8
2021,1,Ginger FC,Pop Lockett Drop it,Should Have Benched,Aaron Rodgers,QB,QB,3.32
2021,1,Ginger FC,Pop Lockett Drop it,Should Have Benched,Ezekiel Elliott,RB,RB,4.9
2021,1,Ginger FC,Pop Lockett Drop it,Should Have Benched,DK Metcalf,WR,W/R/T,14.0
2021,1,Ginger FC,Pop Lockett Drop it,Should Have Started,Devin Singletary,RB,BN,9.5
2021,1,Ginger FC,Pop Lockett Drop it,Should Have Started,Jameis Winston,QB,BN,39.62
2021,1,Ginger FC,Pop Lockett Drop it,Should Have Started,Jarvis Landry,WR,BN,16.9
2021,1,Joe Mantegna,malle_dips_pouches,Should Have Benched,Justin Herbert,QB,QB,16.38
2021,1,Joe Mantegna,malle_dips_pouches,Should Have Started,Kirk Cousins,QB,BN,26.04
2021,1,Malle ❤️ 🐸,The Big Gronkowski,Should Have Benched,Raheem Mostert,RB,RB,2.0
2021,1,Malle ❤️ 🐸,The Big Gronkowski,Should Have Benched,Mike Evans,WR,W/R/T,3.9
2021,1,Malle ❤️ 🐸,The Big Gronkowski,Should Have Started,Adam Thielen,WR,BN,25.7
2021,1,Malle ❤️ 🐸,The Big Gronkowski,Should Have Started,Phillip Lindsay,RB,BN,8.5
2021,1,Patty Primetimes,Post Mahomes,Should Have Benched,Clyde Edwards-Helaire,RB,RB,8.7
2021,1,Patty Primetimes,Post Mahomes,Should Have Benched,Julio Jones,WR,WR,4.4
2021,1,Patty Primetimes,Post Mahomes,Should Have Started,Nelson Agholor,WR,BN,15.7
2021,1,Patty Primetimes,Post Mahomes,Should Have Started,DeVonta Smith,WR,BN,16.1
2021,1,Pop Lockett Drop it,Ginger FC,Should Have Benched,Courtland Sutton,WR,W/R/T,1.9
2021,1,Pop Lockett Drop it,Ginger FC,Should Have Started,Hollywood Brown,WR,BN,16.4
2021,1,Post Mahomes,Patty Primetimes,Should Have Benched,(Empty),DEF,DEF,0.0
2021,1,Post Mahomes,Patty Primetimes,Should Have Benched,Saquon Barkley,RB,RB,3.2
2021,1,Post Mahomes,Patty Primetimes,Should Have Benched,Brandon Aiyuk,WR,WR,0.0
2021,1,Post Mahomes,Patty Primetimes,Should Have Started,Kenny Golladay,WR,BN,8.4
2021,1,Post Mahomes,Patty Primetimes,Should Have Started,Latavius Murray,RB,BN,8.8
2021,1,Post Mahomes,Patty Primetimes,Should Have Started,Ravens - DEF,DEF,BN,4.0
2021,1,The Big Gronkowski,Malle ❤️ 🐸,Should Have Benched,Najee Harris,RB,RB,5.4
2021,1,The Big Gronkowski,Malle ❤️ 🐸,Should Have Benched,Chase Claypool,WR,W/R/T,8.5
2021,1,The Big Gronkowski,Malle ❤️ 🐸,Should Have Started,Cole Beasley,WR,BN,10.0
2021,1,The Big Gronkowski,Malle ❤️ 🐸,Should Have Started,Nyheim Miller-Hines,RB,BN,11.2
2021,1,ThreatLevelMidnight,Big Sack Jack,Should Have Benched,Mike Davis,RB,W/R/T,8.7
2021,1,ThreatLevelMidnight,Big Sack Jack,Should Have Benched,Davante Adams,WR,WR,8.1
2021,1,ThreatLevelMidnight,Big Sack Jack,Should Have Started,Corey Davis,WR,BN,24.2
2021,1,ThreatLevelMidnight,Big Sack Jack,Should Have Started,Jaylen Waddle,WR,BN,14.1
2021,1,Uncle Rico,Voldemort,Should Have Benched,Lamar Jackson,QB,QB,20.0
2021,1,Uncle Rico,Voldemort,Should Have Benched,Allen Robinson,WR,WR,6.5
2021,1,Uncle Rico,Voldemort,Should Have Benched,Sammy Watkins,WR,WR,11.6
2021,1,Uncle Rico,Voldemort,Should Have Started,Antonio Brown,WR,BN,21.2
2021,1,Uncle Rico,Voldemort,Should Have Started,DJ Chark,WR,BN,16.1
2021,1,Uncle Rico,Voldemort,Should Have Started,Trevor Lawrence,QB,BN,28.08
2021,1,Voldemort,Uncle Rico,Should Have Benched,Calvin Ridley,WR,WR,7.6
2021,1,Voldemort,Uncle Rico,Should Have Benched,Justin Jefferson,WR,WR,10.04
2021,1,Voldemort,Uncle Rico,Should Have Started,Chase Edmonds,RB,BN,12.6
2021,1,Voldemort,Uncle Rico,Should Have Started,Deebo Samuel Sr.,WR,BN,27.4
2021,1,malle_dips_pouches,Joe Mantegna,Should Have Benched,Aaron Jones Sr.,RB,RB,3.2
2021,1,malle_dips_pouches,Joe Mantegna,Should Have Benched,Tyler Boyd,WR,WR,4.7
2021,1,malle_dips_pouches,Joe Mantegna,Should Have Started,Marvin Jones Jr.,WR,BN,16.2
2021,1,malle_dips_pouches,Joe Mantegna,Should Have Started,Mike Williams,WR,BN,18.2
2021,2,Big Sack Jack,Pop Lockett Drop it,Should Have Benched,Kenny Gainwell,RB,RB,6.2
2021,2,Big Sack Jack,Pop Lockett Drop it,Should Have Started,Sterling Shepard,WR,BN,13.0
2021,2,Ginger FC,Post Mahomes,Should Have Benched,Amari Cooper,WR,WR,3.9
