trade_id,year,date,player,source_team,destination_team,position,position_source,attribution_status,first_week_with_acquiring_team,last_week_with_acquiring_team,roster_weeks,starts,bench_weeks,ir_weeks,fantasy_points,started_points,bench_points,projected_points,points_per_roster_week,points_per_start,replacement_p25,replacement_p40,expected_replacement_started_points,raw_starter_value,starter_value,expected_replacement_bench_points,raw_bench_value,bench_value,trade_value,start_value_per_start,starter_points_vs_replacement_pct
2020-263,2020,2020-11-13T03:25:33-05:00,Robbie Chosen,malle_dips_pouches,Pop Lockett Drop it,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,10.0,13.0,4,3,1,0,29.6,29.6,0.0,36.93,7.4,9.87,7.1,10.2,30.6,-1.0,0.0,7.1,-7.1,0.0,0.0,-0.33,-3.27
2021-79,2021,2021-10-07T03:10:15-04:00,Brandon Aiyuk,Post Mahomes,Uncle Rico,WR,historical_fixed_slot,matched_post_trade_roster_stint,5.0,7.0,3,0,3,0,5.6,0.0,5.6,20.18,1.87,0.0,5.88,8.4,0.0,0.0,0.0,17.62,-12.02,0.0,0.0,0.0,0.0
2021-79,2021,2021-10-07T03:10:15-04:00,Latavius Murray,Post Mahomes,Uncle Rico,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,5.0,14.0,10,4,6,0,32.9,18.9,14.0,44.97,3.29,4.72,6.5,9.1,36.4,-17.5,0.0,39.0,-25.0,0.0,0.0,-4.38,-48.08
2021-79,2021,2021-10-07T03:10:15-04:00,Odell Beckham Jr.,Uncle Rico,Post Mahomes,WR,historical_fixed_slot,matched_post_trade_roster_stint,5.0,14.0,10,2,7,1,63.7,19.7,44.0,83.43,6.37,9.85,5.88,8.4,16.8,2.9,2.9,41.12,2.88,0.72,3.62,1.45,17.26
2021-104,2021,2021-10-14T13:55:30-04:00,Dallas Goedert,Patty Primetimes,Post Mahomes,TE,historical_fixed_slot,no_post_trade_roster_stint,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-104,2021,2021-10-14T13:55:30-04:00,Alex Collins,Post Mahomes,Patty Primetimes,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,6.0,14.0,9,6,3,0,38.0,35.8,2.2,67.4,4.22,5.97,6.5,9.1,54.6,-18.8,0.0,19.5,-17.3,0.0,0.0,-3.13,-34.43
2022-59,2022,2022-09-23T15:46:47-04:00,D'Andre Swift,Malle ❤️ 🐸,Voldemort,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,3.0,14.0,12,4,5,3,75.6,31.0,44.6,88.48,6.3,7.75,6.58,9.0,36.0,-5.0,0.0,32.88,11.73,2.93,2.93,-1.25,-13.89
2022-59,2022,2022-09-23T15:46:47-04:00,Antonio Gibson,Voldemort,Malle ❤️ 🐸,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,3.0,14.0,12,8,4,0,107.5,80.1,27.4,100.53,8.96,10.01,6.58,9.0,72.0,8.1,8.1,26.3,1.1,0.27,8.37,1.01,11.25
2022-59,2022,2022-09-23T15:46:47-04:00,James Robinson,Voldemort,Malle ❤️ 🐸,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,3.0,14.0,12,7,5,0,48.9,46.9,2.0,75.64,4.08,6.7,6.58,9.0,63.0,-16.1,0.0,32.88,-30.88,0.0,0.0,-2.3,-25.56
2022-81,2022,2022-09-29T10:18:47-04:00,Dameon Pierce,Pop Lockett Drop it,Post Mahomes,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,4.0,14.0,11,9,2,0,121.7,110.7,11.0,122.57,11.06,12.3,6.58,9.0,81.0,29.7,29.7,13.15,-2.15,0.0,29.7,3.3,36.67
2022-81,2022,2022-09-29T10:18:47-04:00,Gabe Davis,Post Mahomes,Pop Lockett Drop it,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,4.0,14.0,11,9,2,0,102.6,100.8,1.8,108.18,9.33,11.2,6.0,9.3,83.7,17.1,17.1,12.0,-10.2,0.0,17.1,1.9,20.43
2022-81,2022,2022-09-29T10:18:47-04:00,Gerald Everett,Post Mahomes,Pop Lockett Drop it,TE,acquired_stint_fixed_slot,matched_post_trade_roster_stint,4.0,14.0,11,9,2,0,60.5,45.9,14.6,72.1,5.5,5.1,3.2,5.3,47.7,-1.8,0.0,6.4,8.2,2.05,2.05,-0.2,-3.77
2022-112,2022,2022-10-06T08:48:17-04:00,Christian Kirk,Pop Lockett Drop it,Uncle Rico,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,5.0,14.0,10,9,1,0,100.6,100.6,0.0,74.41,10.06,11.18,6.0,9.3,83.7,16.9,16.9,6.0,-6.0,0.0,16.9,1.88,20.19
2022-112,2022,2022-10-06T08:48:17-04:00,Najee Harris,Pop Lockett Drop it,Uncle Rico,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,5.0,14.0,10,7,3,0,103.06,65.56,37.5,79.19,10.31,9.37,6.58,9.0,63.0,2.56,2.56,19.73,17.77,4.44,7.0,0.37,4.06
2022-112,2022,2022-10-06T08:48:17-04:00,Nick Chubb,Uncle Rico,Pop Lockett Drop it,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,5.0,14.0,10,9,1,0,131.9,131.9,0.0,134.96,13.19,14.66,6.58,9.0,81.0,50.9,50.9,6.58,-6.58,0.0,50.9,5.66,62.84
2022-149,2022,2022-10-18T17:43:51-04:00,CeeDee Lamb,Malle ❤️ 🐸,Post Mahomes,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,7.0,14.0,8,7,1,0,102.8,102.8,0.0,108.0,12.85,14.69,6.0,9.3,65.1,37.7,37.7,6.0,-6.0,0.0,37.7,5.39,57.91
2022-149,2022,2022-10-18T17:43:51-04:00,Allen Lazard,Post Mahomes,Malle ❤️ 🐸,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,7.0,14.0,8,6,2,0,52.0,52.0,0.0,62.92,6.5,8.67,6.0,9.3,55.8,-3.8,0.0,12.0,-12.0,0.0,0.0,-0.63,-6.81
2022-149,2022,2022-10-18T17:43:51-04:00,Ezekiel Elliott,Post Mahomes,Malle ❤️ 🐸,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,7.0,14.0,8,4,4,0,83.1,65.9,17.2,58.23,10.39,16.48,6.58,9.0,36.0,29.9,29.9,26.3,-9.1,0.0,29.9,7.48,83.06
2022-224,2022,2022-11-03T12:29:51-04:00,Clyde Edwards-Helaire,Post Mahomes,Uncle Rico,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,9.0,10.0,2,1,1,0,2.4,2.4,0.0,19.12,1.2,2.4,6.58,9.0,9.0,-6.6,0.0,6.58,-6.58,0.0,0.0,-6.6,-73.33
2022-224,2022,2022-11-03T12:29:51-04:00,Tua Tagovailoa,Uncle Rico,Post Mahomes,QB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,9.0,14.0,6,5,1,0,111.84,111.84,0.0,115.23,18.64,22.37,17.04,20.46,102.28,9.56,9.56,17.04,-17.04,0.0,9.56,1.91,9.35
2022-284,2022,2022-11-17T12:37:10-05:00,Dalton Schultz,Ginger FC 🏆🏆,Voldemort,TE,acquired_stint_fixed_slot,matched_post_trade_roster_stint,11.0,14.0,4,4,0,0,36.8,36.8,0.0,32.63,9.2,9.2,3.2,5.3,21.2,15.6,15.6,0.0,0.0,0.0,15.6,3.9,73.58
