year,week,team,opponent,points_for,points_against,result,margin
2019,12,Joe Mantegna,Big Sack Jack,81.64,93.0,L,-11.36
2019,12,Malle ❤️ 🐸,The Big Gronkowski,69.58,105.72,L,-36.14
2019,12,Patty Primetimes,Ginger FC,107.76,85.34,W,22.42
2019,12,Pop Lockett Drop it,Uncle Rico,55.4,112.9,L,-57.50000000000001
2019,12,Post Mahomes,ThreatLevelMidnight,114.62,97.18,W,17.439999999999998
2019,12,The Big Gronkowski,Malle ❤️ 🐸,105.72,69.58,W,36.14
2019,12,ThreatLevelMidnight,Post Mahomes,97.18,114.62,L,-17.439999999999998
2019,12,Uncle Rico,Pop Lockett Drop it,112.9,55.4,W,57.50000000000001
2019,12,Voldemort,malle_dips_pouches,108.78,66.56,W,42.22
2019,12,malle_dips_pouches,Voldemort,66.56,108.78,L,-42.22
2019,13,Big Sack Jack,Patty Primetimes,86.14,81.9,W,4.239999999999995
2019,13,Ginger FC,ThreatLevelMidnight,81.58,91.38,L,-9.799999999999997
2019,13,Joe Mantegna,malle_dips_pouches,99.34,104.82,L,-5.47999999999999
2019,13,Malle ❤️ 🐸,Uncle Rico,107.6,95.24,W,12.36
2019,13,Patty Primetimes,Big Sack Jack,81.9,86.14,L,-4.239999999999995
2019,13,Pop Lockett Drop it,Post Mahomes,105.6,80.32,W,25.28
2019,13,Post Mahomes,Pop Lockett Drop it,80.32,105.6,L,-25.28
2019,13,The Big Gronkowski,Voldemort,59.4,69.7,L,-10.300000000000004
2019,13,ThreatLevelMidnight,Ginger FC,91.38,81.58,W,9.799999999999997
2019,13,Uncle Rico,Malle ❤️ 🐸,95.24,107.6,L,-12.36
2019,13,Voldemort,The Big Gronkowski,69.7,59.4,W,10.300000000000004
2019,13,malle_dips_pouches,Joe Mantegna,104.82,99.34,W,5.47999999999999
2020,1,Big Sack Jack,ThreatLevelMidnight,115.44,135.8,L,-20.360000000000014
2020,1,Ginger FC,Pop Lockett Drop it,137.88,149.56,L,-11.680000000000007
2020,1,Joe Mantegna,malle_dips_pouches,124.72,115.36,W,9.36
2020,1,Malle ❤️ 🐸,The Big Gronkowski,147.86,85.4,W,62.46000000000001
2020,1,Patty Primetimes,Post Mahomes,105.7,100.4,W,5.299999999999997
2020,1,Pop Lockett Drop it,Ginger FC,149.56,137.88,W,11.680000000000007
2020,1,Post Mahomes,Patty Primetimes,100.4,105.7,L,-5.299999999999997
2020,1,The Big Gronkowski,Malle ❤️ 🐸,85.4,147.86,L,-62.46000000000001
2020,1,ThreatLevelMidnight,Big Sack Jack,135.8,115.44,W,20.360000000000014
2020,1,Uncle Rico,Voldemort,91.28,91.14,W,0.14000000000000057
2020,1,Voldemort,Uncle Rico,91.14,91.28,L,-0.14000000000000057
2020,1,malle_dips_pouches,Joe Mantegna,115.36,124.72,L,-9.36
2020,2,Big Sack Jack,Pop Lockett Drop it,131.38,89.9,W,41.47999999999999
2020,2,Ginger FC,Post Mahomes,145.92,126.44,W,19.47999999999999
2020,2,Joe Mantegna,Uncle Rico,94.7,112.2,L,-17.5
2020,2,Malle ❤️ 🐸,Patty Primetimes,151.48,110.96,W,40.519999999999996
2020,2,Patty Primetimes,Malle ❤️ 🐸,110.96,151.48,L,-40.519999999999996
2020,2,Pop Lockett Drop it,Big Sack Jack,89.9,131.38,L,-41.47999999999999
2020,2,Post Mahomes,Ginger FC,126.44,145.92,L,-19.47999999999999
2020,2,The Big Gronkowski,Voldemort,96.88,144.0,L,-47.120000000000005
2020,2,ThreatLevelMidnight,malle_dips_pouches,97.02,151.46,L,-54.44000000000001
2020,2,Uncle Rico,Joe Mantegna,112.2,94.7,W,17.5
