year,week,team_1,team_1_record,team_1_score,team_1_projected,team_2,team_2_record,team_2_score,team_2_projected,winner,loser,result,margin,is_playoffs
2019,6,Ginger FC,4-9-0 | 7th,87.2,93.19,Big Sack Jack,7-6-0 | 6th,92.36,105.5,Big Sack Jack,Ginger FC,team_2,5.16,False
2019,7,Uncle Rico,2-11-0 | 11th,78.68,98.23,Big Sack Jack,7-6-0 | 6th,97.46,100.91,Big Sack Jack,Uncle Rico,team_2,18.78,False
2019,7,The Big Gronkowski,6-7-0 | 9th,64.44,88.7,Post Mahomes,8-5-0 | 4th,96.62,114.33,Post Mahomes,The Big Gronkowski,team_2,32.18,False
2019,7,Malle ❤️ 🐸,4-9-0 | 8th,63.46,92.79,Pop Lockett Drop it,10-3-0 | 5th,90.24,107.5,Pop Lockett Drop it,Malle ❤️ 🐸,team_2,26.78,False
2019,7,Voldemort,12-1-0 | 1st,68.04,106.34,ThreatLevelMidnight,7-6-0 | 3rd,113.42,95.82,ThreatLevelMidnight,Voldemort,team_2,45.38,False
2019,7,Joe Mantegna,4-9-0 | 10th,78.94,94.7,Patty Primetimes,10-3-0 | 2nd,118.52,98.93,Patty Primetimes,Joe Mantegna,team_2,39.58,False
2019,7,Ginger FC,4-9-0 | 7th,109.32,90.61,malle_dips_pouches,4-9-0 | 12th,104.96,98.1,Ginger FC,malle_dips_pouches,team_1,4.36,False
2019,8,Uncle Rico,2-11-0 | 11th,69.9,70.3,Patty Primetimes,10-3-0 | 2nd,94.16,98.49,Patty Primetimes,Uncle Rico,team_2,24.26,False
2019,8,The Big Gronkowski,6-7-0 | 9th,83.3,81.37,Ginger FC,4-9-0 | 7th,71.7,99.01,The Big Gronkowski,Ginger FC,team_1,11.6,False
2019,8,Malle ❤️ 🐸,4-9-0 | 8th,94.02,93.42,Post Mahomes,8-5-0 | 4th,101.16,104.68,Post Mahomes,Malle ❤️ 🐸,team_2,7.14,False
2019,8,Voldemort,12-1-0 | 1st,122.58,101.19,Pop Lockett Drop it,10-3-0 | 5th,99.68,111.85,Voldemort,Pop Lockett Drop it,team_1,22.9,False
2019,8,Joe Mantegna,4-9-0 | 10th,121.78,98.1,ThreatLevelMidnight,7-6-0 | 3rd,138.08,105.56,ThreatLevelMidnight,Joe Mantegna,team_2,16.3,False
2019,8,Big Sack Jack,7-6-0 | 6th,110.26,102.69,malle_dips_pouches,4-9-0 | 12th,94.9,83.12,Big Sack Jack,malle_dips_pouches,team_1,15.36,False
2019,9,Uncle Rico,2-11-0 | 11th,73.2,91.9,malle_dips_pouches,4-9-0 | 12th,75.54,92.93,malle_dips_pouches,Uncle Rico,team_2,2.34,False
2019,9,The Big Gronkowski,6-7-0 | 9th,91.78,88.77,Big Sack Jack,7-6-0 | 6th,129.3,95.45,Big Sack Jack,The Big Gronkowski,team_2,37.52,False
2019,9,Malle ❤️ 🐸,4-9-0 | 8th,58.04,56.1,Ginger FC,4-9-0 | 7th,115.7,81.73,Ginger FC,Malle ❤️ 🐸,team_2,57.66,False
2019,9,Voldemort,12-1-0 | 1st,96.2,109.77,Post Mahomes,8-5-0 | 4th,78.14,110.3,Voldemort,Post Mahomes,team_1,18.06,False
2019,9,Joe Mantegna,4-9-0 | 10th,103.64,91.93,Pop Lockett Drop it,10-3-0 | 5th,154.32,113.26,Pop Lockett Drop it,Joe Mantegna,team_2,50.68,False
2019,9,Patty Primetimes,10-3-0 | 2nd,129.22,102.02,ThreatLevelMidnight,7-6-0 | 3rd,76.36,98.32,Patty Primetimes,ThreatLevelMidnight,team_1,52.86,False
2019,10,Uncle Rico,2-11-0 | 11th,134.74,95.98,ThreatLevelMidnight,7-6-0 | 3rd,108.02,88.69,Uncle Rico,ThreatLevelMidnight,team_1,26.72,False
2019,10,The Big Gronkowski,6-7-0 | 9th,79.38,96.27,malle_dips_pouches,4-9-0 | 12th,79.32,86.84,The Big Gronkowski,malle_dips_pouches,team_1,0.06,False
2019,10,Malle ❤️ 🐸,4-9-0 | 8th,92.78,78.76,Big Sack Jack,7-6-0 | 6th,112.42,102.43,Big Sack Jack,Malle ❤️ 🐸,team_2,19.64,False
2019,10,Voldemort,12-1-0 | 1st,136.34,116.19,Ginger FC,4-9-0 | 7th,67.08,93.42,Voldemort,Ginger FC,team_1,69.26,False
2019,10,Joe Mantegna,4-9-0 | 10th,103.22,85.46,Post Mahomes,8-5-0 | 4th,90.26,94.2,Joe Mantegna,Post Mahomes,team_1,12.96,False
